MIDI to text converter by Dominic Bodman
==============CONCISE MODE==============
Song data: Note count | Duration | Tempo change count
Tempo data: BPM | Start time | End time
Channel data: Channel 1 instrument | Channel 2 instrument | ... | Channel 16 instrument (Note: -1 indicates an unused channel)
Note data: Start Time | Channel | Key | Velocity | Duration
========================================
DATA BEGIN
1568|00:01:01|1
112.0072|0|61067
81|17|0|39|81|-1|-1|-1|52|16|-1|-1|-1|122|119|18
0|9|37|100|535
0|9|42|100|535
535|9|37|100|536
535|9|42|100|536
1071|9|37|100|536
1071|9|42|100|536
2142|1|72|100|134
2142|9|42|100|536
2142|15|60|100|134
2276|1|72|100|134
2544|1|72|100|134
2544|15|60|100|134
2678|1|72|100|134
2678|9|42|100|536
2812|1|72|100|134
2946|15|60|100|134
3080|1|72|100|134
3214|1|72|100|134
3214|9|42|100|535
3348|1|72|100|133
3615|1|72|100|134
3749|9|42|100|536
3749|1|72|100|134
3883|1|72|100|134
4151|1|72|100|134
4285|9|42|100|536
4285|2|24|100|268
4285|1|72|100|134
4285|0|36|100|268
4419|1|72|100|134
4553|0|43|100|268
4553|2|31|100|268
4687|1|72|100|134
4821|15|60|100|134
4821|15|48|100|134
4821|2|30|100|267
4821|0|42|100|267
4821|1|72|100|134
4821|9|42|100|535
4955|15|60|100|133
4955|1|72|100|133
4955|15|48|100|133
5088|2|31|100|268
5088|15|60|100|134
5088|0|43|100|268
5088|15|48|100|134
5222|1|72|100|134
5356|0|36|100|268
5356|1|72|100|134
5356|9|42|100|536
5356|2|24|100|268
5490|1|72|100|134
5624|2|31|100|268
5624|0|43|100|268
5758|1|72|100|134
5892|15|48|100|134
5892|15|60|100|134
5892|9|42|100|536
5892|0|42|100|268
5892|2|30|100|268
5892|1|72|100|134
6026|1|72|100|134
6026|15|60|100|134
6026|15|48|100|134
6160|15|48|100|134
6160|0|43|100|268
6160|2|31|100|268
6160|15|60|100|134
6294|1|72|100|134
6428|1|72|100|134
6428|0|36|100|268
6428|2|24|100|268
6428|9|42|100|535
6562|1|72|100|134
6696|9|30|100|133
6696|2|31|100|267
6696|0|43|100|267
6829|1|72|100|134
6829|9|30|100|134
6963|9|42|100|536
6963|0|42|100|268
6963|1|72|100|134
6963|2|30|100|268
7097|1|72|100|134
7231|9|30|100|134
7231|0|43|100|268
7231|2|31|100|268
7365|9|30|100|134
7365|1|72|100|134
7499|1|72|100|134
7499|0|46|100|134
7499|9|46|100|268
7499|9|35|100|268
7499|9|36|100|268
7499|2|34|100|134
7633|1|72|100|134
7767|9|46|100|268
7767|0|46|100|134
7767|2|34|100|134
7767|9|35|100|268
7767|15|60|100|134
7767|15|48|100|134
7767|9|36|100|268
7901|1|72|100|134
8035|1|72|100|134
8035|15|60|100|134
8035|15|48|100|134
8169|1|72|100|134
8303|15|60|100|133
8303|15|48|100|133
8436|1|72|100|134
8570|1|72|100|134
8570|9|42|100|536
8570|3|24|100|268
8570|4|36|100|268
8570|2|24|100|268
8570|0|36|100|268
8704|1|72|100|134
8838|4|43|100|268
8838|0|43|100|268
8838|3|31|100|268
8838|2|31|100|268
8972|1|72|100|134
9106|2|30|100|268
9106|3|30|100|268
9106|4|42|100|268
9106|0|42|100|268
9106|15|60|100|134
9106|9|42|100|536
9106|15|48|100|134
9106|1|72|100|134
9240|15|48|100|134
9240|15|60|100|134
9240|1|72|100|134
9374|15|60|100|134
9374|15|48|100|134
9374|2|31|100|268
9374|4|43|100|268
9374|3|31|100|268
9374|0|43|100|268
9508|1|72|100|134
9642|0|36|100|268
9642|2|24|100|268
9642|1|72|100|134
9642|3|24|100|268
9642|9|42|100|535
9642|4|36|100|268
9776|1|72|100|134
9910|2|31|100|267
9910|4|43|100|267
9910|3|31|100|267
9910|0|43|100|267
10044|1|72|100|133
10177|3|30|100|268
10177|2|30|100|268
10177|15|60|100|134
10177|4|42|100|268
10177|1|72|100|134
10177|9|42|100|536
10177|0|42|100|268
10177|15|48|100|134
10311|1|72|100|134
10311|15|60|100|134
10311|15|48|100|134
10445|15|60|100|134
10445|4|43|100|268
10445|15|48|100|134
10445|2|31|100|268
10445|3|31|100|268
10445|0|43|100|268
10579|1|72|100|134
10713|2|24|100|268
10713|1|72|100|134
10713|0|36|100|268
10713|4|36|100|268
10713|3|24|100|268
10713|9|35|100|536
10847|1|72|100|134
10981|3|31|100|268
10981|2|31|100|268
10981|9|44|100|268
10981|9|42|100|268
10981|9|30|100|134
10981|0|43|100|268
10981|4|43|100|268
11115|1|72|100|134
11115|9|30|100|134
11249|4|42|100|268
11249|1|72|100|134
11249|2|30|100|268
11249|0|42|100|268
11249|3|30|100|268
11249|9|38|100|268
11383|1|72|100|134
11517|0|43|100|267
11517|2|31|100|267
11517|3|31|100|267
11517|4|43|100|267
11517|9|44|100|267
11517|9|30|100|134
11651|1|72|100|133
11651|9|30|100|133
11695|9|35|64|89
11784|4|46|100|134
11784|3|34|100|134
11784|0|46|100|134
11784|2|34|100|134
11784|9|35|100|268
11784|1|72|100|134
11784|9|46|100|268
11918|1|72|100|134
11963|9|42|100|89
12052|15|48|100|134
12052|0|46|100|134
12052|15|60|100|134
12052|3|34|100|134
12052|4|46|100|134
12052|2|34|100|134
12052|9|46|100|268
12052|9|35|100|268
12186|1|72|100|134
12320|15|60|100|134
12320|1|72|100|134
12320|15|48|100|134
12454|1|72|100|134
12588|15|60|100|134
12588|15|48|100|134
12722|1|72|100|134
12856|4|36|100|268
12856|3|24|100|268
12856|0|36|100|268
12856|2|24|100|268
12856|9|35|100|268
12856|9|42|100|268
12856|1|72|100|134
12856|15|60|100|268
12990|1|72|100|134
13124|3|31|100|268
13124|9|42|100|134
13124|2|31|100|268
13124|0|43|100|268
13124|4|43|100|268
13124|15|67|100|268
13258|1|72|100|134
13258|9|42|100|134
13392|9|38|100|267
13392|3|30|100|267
13392|4|42|100|267
13392|9|46|100|267
13392|2|30|100|267
13392|1|72|100|133
13392|15|66|100|267
13392|9|42|100|267
13392|0|42|100|267
13525|1|72|100|134
13659|3|31|100|268
13659|0|43|100|268
13659|2|31|100|268
13659|9|42|100|134
13659|4|43|100|268
13793|9|42|100|134
13793|1|72|100|134
13838|9|35|64|89
13927|15|60|100|134
13927|1|72|100|134
13927|9|35|100|268
13927|2|24|100|268
13927|9|42|100|268
13927|4|36|100|268
13927|0|36|100|268
13927|3|24|100|268
14061|1|72|100|134
14061|15|60|100|134
14195|4|43|100|268
14195|15|67|100|268
14195|9|42|100|134
14195|9|35|100|268
14195|2|31|100|268
14195|3|31|100|268
14195|0|43|100|268
14329|9|42|100|134
14329|1|72|100|134
14463|3|30|100|268
14463|9|42|100|268
14463|15|66|100|268
14463|9|46|100|268
14463|2|30|100|268
14463|1|72|100|134
14463|4|42|100|268
14463|0|42|100|268
14463|9|38|100|268
14597|1|72|100|134
14731|3|31|100|268
14731|2|31|100|268
14731|9|42|100|134
14731|9|35|100|268
14731|0|43|100|268
14731|15|67|100|268
14731|4|43|100|268
14865|1|72|100|134
14865|9|42|100|134
14999|0|36|100|267
14999|9|35|100|535
14999|1|72|100|133
14999|2|24|100|267
14999|4|36|100|267
14999|15|48|100|133
14999|15|60|100|133
14999|3|24|100|267
15132|15|60|100|134
15132|15|48|100|134
15132|1|72|100|134
15266|2|31|100|268
15266|0|43|100|268
15266|9|30|100|134
15266|15|55|100|268
15266|9|44|100|268
15266|9|42|100|268
15266|4|43|100|268
15266|15|67|100|268
15266|3|31|100|268
15400|9|30|100|134
15400|1|72|100|134
15534|2|30|100|268
15534|15|66|100|268
15534|9|46|100|268
15534|4|42|100|268
15534|9|38|100|268
15534|1|72|100|134
15534|3|30|100|268
15534|0|42|100|268
15534|15|54|100|268
15668|1|72|100|134
15802|15|55|100|268
15802|9|30|100|134
15802|15|67|100|268
15802|3|31|100|268
15802|0|43|100|268
15802|2|31|100|268
15802|9|44|100|268
15802|4|43|100|268
15936|9|30|100|134
15936|1|72|100|134
15981|9|35|64|89
16070|4|46|100|134
16070|0|46|100|134
16070|9|35|100|268
16070|1|72|100|134
16070|3|34|100|134
16070|9|46|100|268
16070|15|58|100|134
16070|2|34|100|134
16070|15|70|100|134
16204|1|72|100|134
16248|9|42|100|90
16338|9|46|100|268
16338|15|58|100|134
16338|3|34|100|134
16338|15|70|100|134
16338|4|46|100|134
16338|9|35|100|268
16338|2|34|100|134
16338|0|46|100|134
16472|1|72|100|134
16606|1|72|100|134
16740|1|72|100|133
17007|1|72|100|134
17141|9|42|100|268
17141|1|72|100|134
17141|9|35|100|268
17141|4|36|100|268
17141|15|60|100|268
17141|3|24|100|268
17141|2|24|100|268
17141|0|36|100|268
17275|1|72|100|134
17409|3|31|100|268
17409|4|43|100|268
17409|0|43|100|268
17409|9|42|100|134
17409|2|31|100|268
17409|15|67|100|268
17543|1|72|100|134
17543|9|42|100|134
17677|2|30|100|268
17677|1|72|100|134
17677|0|42|100|268
17677|9|46|100|268
17677|9|42|100|268
17677|15|66|100|268
17677|3|30|100|268
17677|4|42|100|268
17677|9|38|100|268
17811|1|72|100|134
17945|4|43|100|268
17945|0|43|100|268
17945|3|31|100|268
17945|9|42|100|134
17945|2|31|100|268
18079|9|42|100|134
18079|1|72|100|134
18123|9|35|64|90
18213|3|24|100|267
18213|15|60|100|134
18213|9|42|100|267
18213|2|24|100|267
18213|0|36|100|267
18213|9|35|100|267
18213|4|36|100|267
18213|1|72|100|134
18347|1|72|100|133
18347|15|60|100|133
18480|9|42|100|134
18480|0|43|100|268
18480|9|35|100|268
18480|15|67|100|268
18480|3|31|100|268
18480|4|43|100|268
18480|2|31|100|268
18614|1|72|100|134
18614|9|42|100|134
18748|0|42|100|268
18748|2|30|100|268
18748|15|66|100|268
18748|9|38|100|268
18748|4|42|100|268
18748|3|30|100|268
18748|9|46|100|268
18748|1|72|100|134
18748|9|42|100|268
18882|1|72|100|134
19016|3|31|100|268
19016|9|35|100|268
19016|9|42|100|134
19016|2|31|100|268
19016|4|43|100|268
19016|0|43|100|268
19016|15|67|100|268
19150|9|42|100|134
19150|1|72|100|134
19284|15|60|100|134
19284|15|48|100|134
19284|2|24|100|268
19284|0|36|100|268
19284|3|24|100|268
19284|4|36|100|268
19284|9|35|100|536
19284|1|72|100|134
19418|15|48|100|134
19418|15|60|100|134
19418|1|72|100|134
19552|3|31|100|268
19552|4|43|100|268
19552|15|67|100|268
19552|9|44|100|268
19552|9|42|100|268
19552|0|43|100|268
19552|2|31|100|268
19552|15|55|100|268
19552|9|30|100|134
19686|1|72|100|134
19686|9|30|100|134
19820|2|30|100|268
19820|4|42|100|268
19820|1|72|100|134
19820|0|42|100|268
19820|9|38|100|268
19820|9|46|100|268
19820|3|30|100|268
19820|15|66|100|268
19820|15|54|100|268
19954|1|72|100|134
20088|15|55|100|267
20088|9|44|100|267
20088|15|67|100|267
20088|4|43|100|267
20088|2|31|100|267
20088|3|31|100|267
20088|0|43|100|267
20088|9|30|100|133
20221|9|30|100|134
20221|1|72|100|134
20266|9|35|65|89
20355|0|46|100|134
20355|1|72|100|134
20355|2|34|100|134
20355|15|70|100|134
20355|9|35|100|268
20355|9|46|100|268
20355|4|46|100|134
20355|15|58|100|134
20355|3|34|100|134
20489|1|72|100|134
20534|9|42|100|89
20623|3|34|100|134
20623|2|34|100|134
20623|15|70|100|134
20623|15|58|100|134
20623|0|46|100|134
20623|4|46|100|134
20623|9|46|100|268
20623|9|35|100|268
20757|1|72|100|134
20891|1|72|100|134
21025|1|72|100|134
21293|1|72|100|134
21427|0|31|100|2142
21427|0|43|100|2142
21427|8|74|100|2142
21427|8|67|100|2142
21427|3|31|100|2142
21427|1|74|100|2142
21427|1|71|100|2142
21427|15|67|111|1339
21427|13|62|100|2142
21427|9|35|96|535
21427|1|67|100|2142
21427|8|71|100|2142
21427|3|43|100|2142
21427|2|31|100|2142
21427|4|31|100|2142
21427|4|43|100|2142
21695|9|44|96|133
21828|9|44|96|134
21962|9|38|96|179
21962|9|46|96|179
21962|9|37|96|179
22230|9|44|96|134
